id,call_number,full_subject_path,main_subject,sub_subject,specific_topic,additional_subject,related_terms
CF 00433773,PG7141.A87,"Slavic. Baltic. Albanian > Polish > Literature > Collections > Poetry > Special forms or topics > Other forms or topics, A-Z",Slavic. Baltic. Albanian,Polish,"Literature > Collections > Poetry > Special forms or topics > Other forms or topics, A-Z",Auschwitz (Concentration camp),Auschwitz (Concentration camp)
CF 00433774,PH728.S57,"Uralic. Basque > Other Finnic languages and dialects > Sami > Language > Linguistic geography. Dialects > Special dialects, A-Z",Uralic. Basque,Other Finnic languages and dialects,"Sami > Language > Linguistic geography. Dialects > Special dialects, A-Z",Skolt,Skolt (Sami dialect)
CF 00433775,PS627.V47,"American literature > Collections of American literature > Drama > Special forms and topics, A-Z",American literature,Collections of American literature,"Drama > Special forms and topics, A-Z",Verse drama,Verse drama in literature
CF 00433776,B3279.K86,"Philosophy (General) > Modern (1450/1600- ) > By region or country > Germany. Austria (German) > By period > Later 19th and 20th centuries > Individual philosophers > Hartmann, Ed - Koz",Philosophy (General),Modern (1450/1600- ),"By region or country > Germany. Austria (German) > By period > Later 19th and 20th centuries > Individual philosophers > Hartmann, Ed - Koz","KoÌˆnig, Josef, 1893-1974","KoÌˆnig, Josef, 1893-1974"
CF 00433777,B3332.S25,Philosophy (General) > Modern (1450/1600- ) > By region or country > Germany. Austria (German) > By period > Later 19th and 20th centuries > Individual philosophers > Sk - Steiner,Philosophy (General),Modern (1450/1600- ),By region or country > Germany. Austria (German) > By period > Later 19th and 20th centuries > Individual philosophers > Sk - Steiner,"Sloterdijk, Peter, 1947-","Sloterdijk, Peter, 1947-"
CF 00433778,BF1717.23,Occult sciences > Astrology > Special topics,Occult sciences,Astrology,Special topics,Dispositors,Dispositors
CF 00433779,BF1779.D65,"Occult sciences > Oracles. Sibyls. Divinations > Other special, A-Z",Occult sciences,Oracles. Sibyls. Divinations,"Other special, A-Z",Dominoes,Dominoes (Divinations)
CF 00433780,BT304.914,Doctrinal theology > Christology > Life of Christ > Character and personality > Special interpretations of Jesus,Doctrinal theology,Christology,Life of Christ > Character and personality > Special interpretations of Jesus,Buddhist,Jesus Christ
CF 00433781,BX1795.D53,"Christian denominations > Catholic Church > Other special topics, A-Z",Christian denominations,Catholic Church,"Other special topics, A-Z",Dialogue,Dialogue
CF 00433782,D1056.2.S47,"History (General) > Europe (General) > History > 1945- > Ethnography > Individual elements in the population not limited to special territorial divisions, A-Z",History (General),Europe (General),"History > 1945- > Ethnography > Individual elements in the population not limited to special territorial divisions, A-Z",Serbs,Serbs in Europe
CF 00433783,BX1432,Christian denominations > Catholic Church > History > By region or country > Latin America > Central America,Christian denominations,Catholic Church,History > By region or country > Latin America > Central America,General works,
